str,en_US,ar_DZ,de_DE,ru_RU,es_ES,fr_FR,it_IT,ja_JP,ko_KR,nl_NL,pt_PT,zh_CN,zh_TW,hi_IN,sv_SE,cs_CZ,fi_FI,pl_PL,tr_TR,vi_VN,uk_UA,ro_RO,hu_HU,el_GR,da_DK,he_IL,nb_NO,id_ID,sk_SK,th_TH,sl_SI,lt_LT,lv_LV,et_EE,fa_IR,bg_BG,sr_RS,hr_HR,sw_KE
chats.chat_threads,Discussions,مناقشات,Diskussionen,Обсуждения,Discusiones,Discussions,Discussioni,議論,토론,Discussies,Discussões,讨论,討論,चर्चाएँ,Diskussioner,Diskuse,Keskustelu,Dyskusje,Tartışma,Thảo luận,Дискусія,Discuții,Megbeszélések,Συζητήσεις,Diskussioner,דיונים,Diskusjoner,Diskusi,Diskusia,การสนทนา,Razprave,Diskusijos,Diskusijas,Arutelud,بحث,Дискусии,Дискусије,Rasprave,Majadiliano
chats.no_chat_threads_yet,You do not appear to have any chat threads yet,لا يبدو أن لديك أي موضوعات دردشة حتى الآن,Sie scheinen noch keine Chat -Threads zu haben,У тебя еще нет нитей в чате,No parece tener ningún hilo de chat todavía,Vous ne semblez pas encore avoir de fils de chat,Non sembri ancora avere thread di chat,あなたはまだチャットスレッドを持っていないようです,아직 채팅 스레드가없는 것 같습니다.,U lijkt nog geen chatthreads te hebben,Você ainda não parece ter nenhum tópico de bate -papo,您似乎还没有任何聊天线程,您似乎還沒有任何聊天線程,आपको अभी तक कोई चैट थ्रेड नहीं दिखता है,Du verkar inte ha några chatttrådar än,"Zdá se, že zatím nemáte žádná vlákna chatu",Sinulla ei vielä näytä olevan chat -säikeitä,"Wygląda na to, że nie masz jeszcze żadnych wątków czatu",Henüz herhangi bir sohbet iş parçacığına sahip görünmüyorsunuz,Bạn dường như chưa có bất kỳ chủ đề trò chuyện nào,"Ви, здається, ще не маєте жодних потоків чатів",Se pare că nu aveți încă fire de chat,"Úgy tűnik, hogy még nem rendelkezik csevegőszálakkal",Δεν φαίνεται να έχετε ακόμα νήματα συνομιλίας,Du ser ikke ud til at have nogen chattråde endnu,נראה שיש לך עדיין שום חוטי צ'אט,Du ser ikke ut til å ha noen chattråder ennå,Anda tampaknya belum memiliki utas obrolan,"Zdá sa, že ešte nemáte žiadne vlákna chatu",คุณยังไม่ได้มีเธรดแชทใด ๆ,"Zdi se, da še nimate nobenih niti za klepet","Atrodo, kad dar neturite jokių pokalbių gijų","Šķiet, ka jums vēl nav nekādu tērzēšanas pavedienu","Tundub, et teil pole veel vestlusnime",به نظر نمی رسد که هنوز هیچ موضوع چت داشته باشید,Изглежда все още нямате никакви нишки за чат,Чини се да још немате ни једно навоја,Čini se da još nemate nikakve teme za chat,Hauonekani kuwa na nyuzi zozote za gumzo bado
chats.page_name,Chats,الدردشات,Chats,Чаты,Charlatanes,Chat,Chat,チャット,채팅,Chats,Bate -papos,聊天,聊天,चैट,Chatt,Chats,Keskustelu,Rozmowy,Sohbetler,Trò chuyện,Чат,Chats,Csevegés,Συνομιλίες,Chats,צ'אט,Chatter,Obrolan,Chatovanie,การพูดคุย,Klepeti,Pokalbiai,Tērzēšana,Vestlus,گپ,Чатове,Четови,Čavrljanja,Mazungumzo
general.email,Email,بريد إلكتروني,Email,Электронная почта,Correo electrónico,E-mail,E-mail,Eメール,이메일,E -mail,E-mail,电子邮件,電子郵件,ईमेल,E-post,E-mailem,Sähköposti,E-mail,E -posta,E-mail,Електронна пошта,E-mail,Email,ΗΛΕΚΤΡΟΝΙΚΗ ΔΙΕΥΘΥΝΣΗ,E -mail,אימייל,E -post,Surel,E -mail,อีเมล,E-naslov,El. Paštas,E -pasts,E -kiri,پست الکترونیک,електронна поща,Е-маил,E -pošta,Barua pepe
general.error.failed_to_load,Failed to load chat threads,فشل تحميل مؤشرات الترابط الدردشة,Fehlgeschlagen beim Laden von Chat -Threads,Не удалось загрузить потоки чата,No se pudo cargar hilos de chat,Échec de charger les threads de chat,Impossibile caricare i thread di chat,チャットスレッドのロードに失敗しました,채팅 스레드를로드하지 못했습니다,Kan chatthreads niet laden,Falha ao carregar threads de bate -papo,无法加载聊天线程,無法加載聊天線程,चैट थ्रेड लोड करने में विफल,Det gick inte att ladda chatttrådar,Nepodařilo se načíst vlákna chatu,Chat -säikeiden lataaminen epäonnistui,Nie udało się załadować wątków czatu,Sohbet iş parçacıklarını yükleyemedi,Không tải các luồng trò chuyện,Не вдалося завантажити нитки чату,Nu a reușit să încarce fire de chat,Nem sikerült betölteni a csevegőszálakat,Αποτυχία φόρτωσης νημάτων συνομιλίας,Kunne ikke indlæse chattråde,נכשל טוען חוטי צ'אט,Kunne ikke laste chattråder,Gagal memuat utas obrolan,Nepodarilo sa načítať vlákna chatu,โหลดเธรดแชทล้มเหลว,Ni bilo mogoče naložiti niti klepeta,Nepavyko įkelti pokalbių gijų,Neizdevās ielādēt tērzēšanas pavedienus,Ebaõnnestus vestluse lõime laadimisel,بارگیری موضوعات چت انجام نشد,Неуспешно зареждане на чат нишки,Није успело учитавање Цхат Тхриес,Nije uspjelo umetati teme za chat,Imeshindwa kupakia nyuzi za gumzo
general.friend,Friend,صديق,Freund,Друг,Amigo,Ami,Amico,友達,친구,Vriend,Amigo,朋友,朋友,दोस्त,Vän,Příteli,Ystävä,Przyjaciel,Arkadaş,Bạn,Друг,Prieten,Barát,Φίλος,Ven,חבר,Venn,Teman,Priateľ,เพื่อน,Prijatelj,Drauge,Draugs,Sõber,دوست,Приятел,Пријатељ,Prijatelj,Rafiki
general.io.click_to_copy,click to copy,انقر لنسخ,"Klicken Sie hier, um zu kopieren","Нажмите, чтобы скопировать",Haga clic para copiar,cliquez pour copier,Fare clic per copiare,クリックしてコピーします,복사하려면 클릭하십시오,Klik om te kopiëren,Clique para copiar,单击复制,單擊複製,कॉपी करने के लिए क्लिक करें,Klicka för att kopiera,Kliknutím zkopírujte,napsauta kopioidaksesi,"Kliknij, aby skopiować",Kopyala için tıklayın,Bấm để sao chép,"Клацніть, щоб скопіювати",Faceți clic pentru a copia,Kattintson a másoláshoz,Κάντε κλικ για αντιγραφή,Klik for at kopiere,לחץ כדי להעתיק,Klikk for å kopiere,Klik untuk menyalin,Kliknutím na skopírovanie,คลิกเพื่อคัดลอก,Kliknite za kopiranje,"Spustelėkite, jei norite nukopijuoti","Noklikšķiniet, lai kopētu",Klõpsake kopeerimiseks,برای کپی کلیک کنید,"Щракнете, за да копирате",Кликните да бисте копирали,Kliknite za kopiranje,Bonyeza kunakili
general.io.share_with,Share with...,شارك مع...,Teilen mit...,Поделиться с ...,Compartir con...,Partager avec...,Condividi con...,と共有する...,와 주...,Delen met...,Compartilhar com...,与某人分享...,與某人分享...,के साथ शेयर करें...,Dela med...,Sdílet s...,Jakaa...,Udostępnij z ...,İle paylaş...,Chia sẽ với...,Поділитися з...,Împarte cu...,Oszd...,Μοιραστείτε το με...,Del med...,שתף עם...,Del med ...,Berbagi dengan...,Zdieľať s...,ร่วมกับ...,Deliti z...,Pasidalink su...,Dalīties ar...,Jaga...,به اشتراک گذاشتن با...,Сподели с...,Учешће у...,Podijeli s...,Shiriki na ...
general.io.tap_to_copy,tap to copy,اضغط على نسخ,Tippen Sie auf zu kopieren,"Нажмите, чтобы копировать",Toque para copiar,Appuyez pour copier,Tocca per copiare,タップしてコピーします,복사하려면 탭합니다,Tik om te kopiëren,Toque para copiar,点击复制,點擊複製,कॉपी करने के लिए टैप करें,Tryck för att kopiera,Klepnutím zkopírujte,Napauta kopioidaksesi,"Stuknij, aby skopiować",kopyalamak için dokunun,Nhấn để sao chép,"Торкніться, щоб скопіювати",Atingeți pentru a copia,Koppintson a másolás elemre,Πατήστε για αντιγραφή,Tryk for at kopiere,הקש כדי להעתיק,Trykk for å kopiere,Ketuk untuk menyalin,Klepnutím na skopírovanie,แตะเพื่อคัดลอก,Tapnite za kopiranje,"Bakstelėkite, kad nukopijuotumėte","Pieskarieties, lai kopētu",Puudutage kopeerimiseks,برای کپی ضربه بزنید,"Докоснете, за да копирате",додирните да бисте копирали,Dodirnite za kopiranje,Gonga ili kunakili
general.loading,Loading,تحميل,Wird geladen,Загрузка,Cargando,Chargement,Caricamento,読み込み,로딩,Bezig met laden,Carregando,加载,加載,लोड हो रहा है,Läser in,načítání,Ladataan,Ładowanie,Yükleniyor,Đang tải,Навантаження,Se încarcă,Betöltés,Φόρτωση,Indlæser,טוען,Lasting,Memuat,Načítava,การโหลด,nalaganje,Pakrauti,Iekraušana,Laadimine,بارگذاری,Зареждане,Утоваривање,Učitavam,Inapakia
general.password,Password,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
